text,label
взлет,TAKEOFF
взлёт,TAKEOFF
взлетай,TAKEOFF
поехали,TAKEOFF
полетели,TAKEOFF
взлетай сейчас,TAKEOFF
взлетай пожалуйста,TAKEOFF
поднимайся,TAKEOFF
поднимись,TAKEOFF
старт,TAKEOFF
стартуем,TAKEOFF

посадка,LAND
садись,LAND
приземлись,LAND
садимся,LAND
закончили,LAND
садись пожалуйста,LAND
на посадку,LAND
садись вниз,LAND
приземляйся,LAND
снижайся и садись,LAND
посади дрон,LAND

стоп,HOVER
зависни,HOVER
стой,HOVER
стоять,HOVER
остановись,HOVER
остановка,HOVER
стоп машина,HOVER
замри,HOVER
держи позицию,HOVER
держись,HOVER
не двигайся,HOVER

вперёд,FORWARD
вперед,FORWARD
лети вперед,FORWARD
двигайся вперед,FORWARD
газ,FORWARD
вперёд немного,FORWARD
вперёд чуть-чуть,FORWARD
давай вперед,FORWARD
прямо вперед,FORWARD
вперёд быстрее,FORWARD
вперед медленно,FORWARD
лети прямо,FORWARD

назад,BACK
лети назад,BACK
двигайся назад,BACK
вернись,BACK
обратно,BACK
назад немного,BACK
назад чуть-чуть,BACK
давай назад,BACK
отступи назад,BACK
сдай назад,BACK
назад медленно,BACK
назад быстрее,BACK

влево,LEFT
сдвиг влево,LEFT
лети влево,LEFT
двигаемся влево,LEFT
ещё влево,LEFT
левее,LEFT
влево немного,LEFT
влево чуть-чуть,LEFT
давай влево,LEFT
уходи влево,LEFT
смещайся влево,LEFT

вправо,RIGHT
сдвиг вправо,RIGHT
лети вправо,RIGHT
двигаемся вправо,RIGHT
ещё вправо,RIGHT
правее,RIGHT
вправо немного,RIGHT
вправо чуть-чуть,RIGHT
давай вправо,RIGHT
уходи вправо,RIGHT
смещайся вправо,RIGHT

вверх,UP
поднимись,UP
выше,UP
еще выше,UP
повыше,UP
вверх немного,UP
вверх чуть-чуть,UP
поднимайся выше,UP
подними дрон,UP
вверх быстрее,UP
вверх медленно,UP

вниз,DOWN
опустись,DOWN
ниже,DOWN
еще ниже,DOWN
пониже,DOWN
вниз немного,DOWN
вниз чуть-чуть,DOWN
опускайся,DOWN
снижайся,DOWN
опусти дрон,DOWN
вниз медленно,DOWN
